Prefecture_JP,Prefecture_EN,Prefecture_Code,Total_Population,Male_Population,Female_Population,Female_subs,Male_Subs,Total_subs
北海道,Hokkaido,JP-01,5250000,2500000,2750000,65810,111800,177610
青森県,Aomori,JP-02,1263000,610000,653000,10915,23650,34565
岩手県,Iwate,JP-03,1225000,590000,635000,10980,23825,34805
宮城県,Miyagi,JP-04,2321000,1120000,1201000,30120,52450,82570
秋田県,Akita,JP-05,974000,470000,504000,9070,14960,24030
山形県,Yamagata,JP-06,1103000,530000,573000,10720,21105,31825
福島県,Fukushima,JP-07,1845000,900000,945000,10720,21105,31825
茨城県,Ibaraki,JP-08,2884000,1420000,1464000,27805,59480,87285
栃木県,Tochigi,JP-09,1946000,960000,986000,22520,42905,65425
群馬県,Gunma,JP-10,1949000,950000,999000,23220,42460,65680
埼玉県,Saitama,JP-11,7321000,3600000,3721000,81440,148290,229640
千葉県,Chiba,JP-12,6249000,3050000,3199000,72630,111150,183780
東京都,Tokyo,JP-13,13929000,6900000,7029000,228740,300505,529280
神奈川県,Kanagawa,JP-14,9205000,4500000,4705000,115135,198300,313435
新潟県,Niigata,JP-15,2232000,1100000,1132000,22335,40695,63035
富山県,Toyama,JP-16,1064000,520000,544000,11690,23410,35100
石川県,Ishikawa,JP-17,1154000,560000,594000,15060,27450,42510
福井県,Fukui,JP-18,773000,380000,393000,8980,16605,25585
山梨県,Yamanashi,JP-19,817000,400000,417000,8120,16145,24265
長野県,Nagano,JP-20,2067000,1010000,1057000,21740,40240,61980
岐阜県,Gifu,JP-21,1993000,980000,1013000,22965,40470,63435
静岡県,Shizuoka,JP-22,3690000,1820000,1870000,38870,78290,117160
愛知県,Aichi,JP-23,7554000,3720000,3834000,109990,197030,307040
三重県,Mie,JP-24,1805000,880000,925000,20735,36070,56805
滋賀県,Shiga,JP-25,1414000,690000,724000,20735,36070,56805
京都府,Kyoto,JP-26,2570000,1240000,1330000,41085,62875,103960
大阪府,Osaka,JP-27,8815000,4310000,4505000,162945,209600,372545
兵庫県,Hyogo,JP-28,5430000,2650000,2780000,73635,110950,184585
奈良県,Nara,JP-29,1311000,640000,671000,18505,24920,43425
和歌山県,Wakayama,JP-30,944000,460000,484000,9050,16090,25590
鳥取県,Tottori,JP-31,550000,270000,280000,5625,10735,16360
島根県,Shimane,JP-32,666000,320000,346000,6525,12220,18745
岡山県,Okayama,JP-33,1876000,910000,966000,26945,42685,69630
広島県,Hiroshima,JP-34,2786000,1350000,1436000,38065,65460,103525
山口県,Yamaguchi,JP-35,1370000,660000,710000,13015,27410,40425
徳島県,Tokushima,JP-36,710000,340000,370000,8490,13415,21905
香川県,Kagawa,JP-37,950000,450000,500000,11630,22795,34425
愛媛県,Ehime,JP-38,1367000,670000,697000,13985,26035,40020
高知県,Kochi,JP-39,698000,330000,368000,6935,11295,17590
福岡県,Fukuoka,JP-40,5053000,2450000,2603000,78015,125850,203865
佐賀県,Saga,JP-41,809000,390000,419000,7765,14190,21955
長崎県,Nagasaki,JP-42,1284000,620000,664000,12280,24160,36440
熊本県,Kumamoto,JP-43,1724000,840000,884000,21150,33730,55560
大分県,Oita,JP-44,1130000,550000,580000,11895,24395,36290
宮崎県,Miyazaki,JP-45,1067000,510000,557000,11150,21210,32360
鹿児島県,Kagoshima,JP-46,1591000,760000,831000,11150,21210,32360
沖縄県,Okinawa,JP-47,1457000,710000,747000,17745,28115,45860
